2012-08-31T17:01:44.019703Z | source | DEBUG | Event: {'size': 611, 'timestamp': 1346432504.019536, 'basename': '796', 'uri': 'http://localhost:8888/resources/796', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.019536Z', 'changetype': 'CREATED', 'md5': 'ifm0uLl7ExFD2nYwxc8bvw=='}
2012-08-31T17:01:44.019936Z | source | DEBUG | Event: {'size': 446, 'timestamp': 1346432504.019775, 'basename': '797', 'uri': 'http://localhost:8888/resources/797', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.019775Z', 'changetype': 'CREATED', 'md5': 'OnOYZ0lUlWdezg1WSzpVWQ=='}
2012-08-31T17:01:44.020156Z | source | DEBUG | Event: {'size': 158, 'timestamp': 1346432504.020007, 'basename': '798', 'uri': 'http://localhost:8888/resources/798', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.020007Z', 'changetype': 'CREATED', 'md5': '6gU4fyUSOsI67LbCiW8RJQ=='}
2012-08-31T17:01:44.020392Z | source | DEBUG | Event: {'size': 280, 'timestamp': 1346432504.020237, 'basename': '799', 'uri': 'http://localhost:8888/resources/799', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.020237Z', 'changetype': 'CREATED', 'md5': '9c/1o/Q9WIKCP5CuXfhn+A=='}
2012-08-31T17:01:44.020616Z | source | DEBUG | Event: {'size': 223, 'timestamp': 1346432504.020463, 'basename': '800', 'uri': 'http://localhost:8888/resources/800', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.020463Z', 'changetype': 'CREATED', 'md5': 'QcUpHWPuKEua3/yYY9w7QA=='}
2012-08-31T17:01:44.020855Z | source | DEBUG | Event: {'size': 624, 'timestamp': 1346432504.020686, 'basename': '801', 'uri': 'http://localhost:8888/resources/801', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.020686Z', 'changetype': 'CREATED', 'md5': 'wacSfxlPuaTje1EY7CG3kA=='}
2012-08-31T17:01:44.021103Z | source | DEBUG | Event: {'size': 955, 'timestamp': 1346432504.020926, 'basename': '802', 'uri': 'http://localhost:8888/resources/802', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.020926Z', 'changetype': 'CREATED', 'md5': 'Z2CfLbZ7FZ7t1xXxLXLnXg=='}
2012-08-31T17:01:44.021357Z | source | DEBUG | Event: {'size': 750, 'timestamp': 1346432504.021181, 'basename': '803', 'uri': 'http://localhost:8888/resources/803', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.021181Z', 'changetype': 'CREATED', 'md5': '7Ckp+hXwSfq/4gp3EFaZZQ=='}
2012-08-31T17:01:44.021589Z | source | DEBUG | Event: {'size': 407, 'timestamp': 1346432504.021429, 'basename': '804', 'uri': 'http://localhost:8888/resources/804', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.021429Z', 'changetype': 'CREATED', 'md5': '5n7t5FnWIpHvs44tPDDWkA=='}
2012-08-31T17:01:44.021823Z | source | DEBUG | Event: {'size': 491, 'timestamp': 1346432504.021661, 'basename': '805', 'uri': 'http://localhost:8888/resources/805', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.021661Z', 'changetype': 'CREATED', 'md5': 'sOwgtsaPqNFTTy6voBjgiw=='}
2012-08-31T17:01:44.022074Z | source | DEBUG | Event: {'size': 845, 'timestamp': 1346432504.021898, 'basename': '806', 'uri': 'http://localhost:8888/resources/806', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.021898Z', 'changetype': 'CREATED', 'md5': 'gGFDomElLkGDIypme7NKyA=='}
2012-08-31T17:01:44.022323Z | source | DEBUG | Event: {'size': 630, 'timestamp': 1346432504.02215, 'basename': '807', 'uri': 'http://localhost:8888/resources/807', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.022150Z', 'changetype': 'CREATED', 'md5': 'TxykxQ10srQAy7jsUFuGLQ=='}
2012-08-31T17:01:44.022555Z | source | DEBUG | Event: {'size': 443, 'timestamp': 1346432504.022394, 'basename': '808', 'uri': 'http://localhost:8888/resources/808', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.022394Z', 'changetype': 'CREATED', 'md5': 'dPYu7jf/eFREzO3If4KI0Q=='}
2012-08-31T17:01:44.022802Z | source | DEBUG | Event: {'size': 620, 'timestamp': 1346432504.022636, 'basename': '809', 'uri': 'http://localhost:8888/resources/809', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.022636Z', 'changetype': 'CREATED', 'md5': 'PPQRi48HfBKICxyySmJvvg=='}
2012-08-31T17:01:44.023021Z | source | DEBUG | Event: {'size': 162, 'timestamp': 1346432504.022873, 'basename': '810', 'uri': 'http://localhost:8888/resources/810', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.022873Z', 'changetype': 'CREATED', 'md5': '7L5Vs/Xm1p4ygDKB0ieFAw=='}
2012-08-31T17:01:44.023256Z | source | DEBUG | Event: {'size': 338, 'timestamp': 1346432504.023093, 'basename': '811', 'uri': 'http://localhost:8888/resources/811', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.023093Z', 'changetype': 'CREATED', 'md5': 'JbH6OR8yzcBVIzCx/xFwfg=='}
2012-08-31T17:01:44.023525Z | source | DEBUG | Event: {'size': 113, 'timestamp': 1346432504.023327, 'basename': '812', 'uri': 'http://localhost:8888/resources/812', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.023327Z', 'changetype': 'CREATED', 'md5': '+B6fY7WsQcc8RLRkyHmUMw=='}
2012-08-31T17:01:44.023765Z | source | DEBUG | Event: {'size': 650, 'timestamp': 1346432504.023597, 'basename': '813', 'uri': 'http://localhost:8888/resources/813', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.023597Z', 'changetype': 'CREATED', 'md5': 'kLBrEc5o1zaafknVgyam7Q=='}
2012-08-31T17:01:44.023996Z | source | DEBUG | Event: {'size': 426, 'timestamp': 1346432504.023836, 'basename': '814', 'uri': 'http://localhost:8888/resources/814', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.023836Z', 'changetype': 'CREATED', 'md5': 'SUCHdwA6jDdMKeNLfMRsPw=='}
2012-08-31T17:01:44.024235Z | source | DEBUG | Event: {'size': 440, 'timestamp': 1346432504.024067, 'basename': '815', 'uri': 'http://localhost:8888/resources/815', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.024067Z', 'changetype': 'CREATED', 'md5': '25NIOmF999Oew9NrNFkCVQ=='}
2012-08-31T17:01:44.024478Z | source | DEBUG | Event: {'size': 638, 'timestamp': 1346432504.024306, 'basename': '816', 'uri': 'http://localhost:8888/resources/816', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.024306Z', 'changetype': 'CREATED', 'md5': 'WcTU1UiEbmYhOHygAvDefg=='}
2012-08-31T17:01:44.024727Z | source | DEBUG | Event: {'size': 953, 'timestamp': 1346432504.02455, 'basename': '817', 'uri': 'http://localhost:8888/resources/817', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.024550Z', 'changetype': 'CREATED', 'md5': 'bis/7UIMFQme57lL57hXXw=='}
2012-08-31T17:01:44.024952Z | source | DEBUG | Event: {'size': 306, 'timestamp': 1346432504.024798, 'basename': '818', 'uri': 'http://localhost:8888/resources/818', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.024798Z', 'changetype': 'CREATED', 'md5': 'yznee80DWCLaTM+IPVB87w=='}
2012-08-31T17:01:44.025194Z | source | DEBUG | Event: {'size': 380, 'timestamp': 1346432504.025029, 'basename': '819', 'uri': 'http://localhost:8888/resources/819', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.025029Z', 'changetype': 'CREATED', 'md5': '2hA/qYi1W0p6QV43kej7xg=='}
2012-08-31T17:01:44.025437Z | source | DEBUG | Event: {'size': 788, 'timestamp': 1346432504.025265, 'basename': '820', 'uri': 'http://localhost:8888/resources/820', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.025265Z', 'changetype': 'CREATED', 'md5': 'vdLbw+BG5blTCEmtTToI9w=='}
2012-08-31T17:01:44.025677Z | source | DEBUG | Event: {'size': 618, 'timestamp': 1346432504.025508, 'basename': '821', 'uri': 'http://localhost:8888/resources/821', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.025508Z', 'changetype': 'CREATED', 'md5': 'dXxPdT2icQitPLF5iBNuAw=='}
2012-08-31T17:01:44.025925Z | source | DEBUG | Event: {'size': 731, 'timestamp': 1346432504.025748, 'basename': '822', 'uri': 'http://localhost:8888/resources/822', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.025748Z', 'changetype': 'CREATED', 'md5': '6eIp1m5u1y+J58x+OQ77Ug=='}
2012-08-31T17:01:44.026179Z | source | DEBUG | Event: {'size': 568, 'timestamp': 1346432504.026008, 'basename': '823', 'uri': 'http://localhost:8888/resources/823', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.026008Z', 'changetype': 'CREATED', 'md5': 'GGYQHt3jzpcbOZP4Ye3EjA=='}
2012-08-31T17:01:44.026416Z | source | DEBUG | Event: {'size': 526, 'timestamp': 1346432504.026252, 'basename': '824', 'uri': 'http://localhost:8888/resources/824', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.026252Z', 'changetype': 'CREATED', 'md5': '1Ef1BQTyEX8j8Rj4zUdYtQ=='}
2012-08-31T17:01:44.026641Z | source | DEBUG | Event: {'size': 262, 'timestamp': 1346432504.026487, 'basename': '825', 'uri': 'http://localhost:8888/resources/825', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.026487Z', 'changetype': 'CREATED', 'md5': 'jRgr85lEZdAOk5XPNYjieQ=='}
2012-08-31T17:01:44.026862Z | source | DEBUG | Event: {'size': 124, 'timestamp': 1346432504.026713, 'basename': '826', 'uri': 'http://localhost:8888/resources/826', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.026713Z', 'changetype': 'CREATED', 'md5': 'SymyBR8e256ihzEc7SDq1g=='}
2012-08-31T17:01:44.027106Z | source | DEBUG | Event: {'size': 844, 'timestamp': 1346432504.026933, 'basename': '827', 'uri': 'http://localhost:8888/resources/827', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.026933Z', 'changetype': 'CREATED', 'md5': 'C9kqVv+Culq23n8AOU7w2w=='}
2012-08-31T17:01:44.027345Z | source | DEBUG | Event: {'size': 369, 'timestamp': 1346432504.027188, 'basename': '828', 'uri': 'http://localhost:8888/resources/828', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.027188Z', 'changetype': 'CREATED', 'md5': 'TMx2UHt+VeUbjZE6R7qsMQ=='}
2012-08-31T17:01:44.027590Z | source | DEBUG | Event: {'size': 883, 'timestamp': 1346432504.027415, 'basename': '829', 'uri': 'http://localhost:8888/resources/829', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.027415Z', 'changetype': 'CREATED', 'md5': '+pRfAlxdH8pMfQOCvVc36A=='}
2012-08-31T17:01:44.027815Z | source | DEBUG | Event: {'size': 265, 'timestamp': 1346432504.027661, 'basename': '830', 'uri': 'http://localhost:8888/resources/830', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.027661Z', 'changetype': 'CREATED', 'md5': 'kzNrxsgCOIVoVkSr3EQu7w=='}
2012-08-31T17:01:44.028036Z | source | DEBUG | Event: {'size': 85, 'timestamp': 1346432504.027886, 'basename': '831', 'uri': 'http://localhost:8888/resources/831', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.027886Z', 'changetype': 'CREATED', 'md5': '1wuOTlyrGn724IBKVxSHFQ=='}
2012-08-31T17:01:44.028281Z | source | DEBUG | Event: {'size': 485, 'timestamp': 1346432504.028108, 'basename': '832', 'uri': 'http://localhost:8888/resources/832', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.028108Z', 'changetype': 'CREATED', 'md5': 'rG4XNxvFYKOVwlmOr5THIw=='}
2012-08-31T17:01:44.028529Z | source | DEBUG | Event: {'size': 905, 'timestamp': 1346432504.028352, 'basename': '833', 'uri': 'http://localhost:8888/resources/833', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.028352Z', 'changetype': 'CREATED', 'md5': 'hEu1dsHlgoZ+6vMsQC4f8g=='}
2012-08-31T17:01:44.028753Z | source | DEBUG | Event: {'size': 306, 'timestamp': 1346432504.0286, 'basename': '834', 'uri': 'http://localhost:8888/resources/834', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.028600Z', 'changetype': 'CREATED', 'md5': 'aIgFQko0BzuiD6WE5HOiCA=='}
2012-08-31T17:01:44.028983Z | source | DEBUG | Event: {'size': 394, 'timestamp': 1346432504.028824, 'basename': '835', 'uri': 'http://localhost:8888/resources/835', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.028824Z', 'changetype': 'CREATED', 'md5': 'l7cBqnyEQLC/0NhYPiFSpw=='}
2012-08-31T17:01:44.029232Z | source | DEBUG | Event: {'size': 721, 'timestamp': 1346432504.029054, 'basename': '836', 'uri': 'http://localhost:8888/resources/836', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.029054Z', 'changetype': 'CREATED', 'md5': 'tQJ7DnIJcT9yTvXTGZP+IQ=='}
2012-08-31T17:01:44.029485Z | source | DEBUG | Event: {'size': 840, 'timestamp': 1346432504.029313, 'basename': '837', 'uri': 'http://localhost:8888/resources/837', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.029313Z', 'changetype': 'CREATED', 'md5': 'GX1RvKCp1CG5CMkCHNeMMQ=='}
2012-08-31T17:01:44.029716Z | source | DEBUG | Event: {'size': 420, 'timestamp': 1346432504.029557, 'basename': '838', 'uri': 'http://localhost:8888/resources/838', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.029557Z', 'changetype': 'CREATED', 'md5': 'bg+mJrSzmIBn9oVevu1B5w=='}
