2012-09-05T20:09:35.082066Z | source | DEBUG | Event: {'size': 284, 'timestamp': 1346875775.081958, 'basename': '945', 'uri': 'http://localhost:8888/resources/945', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.081958Z', 'changetype': 'CREATED', 'md5': 'L9G7S4Frm44LT3QJ7+gCVg=='}
2012-09-05T20:09:35.082243Z | source | DEBUG | Event: {'size': 545, 'timestamp': 1346875775.082125, 'basename': '946', 'uri': 'http://localhost:8888/resources/946', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.082125Z', 'changetype': 'CREATED', 'md5': 'DDl1d24BhxfbdaODkcsksA=='}
2012-09-05T20:09:35.082421Z | source | DEBUG | Event: {'size': 845, 'timestamp': 1346875775.082293, 'basename': '947', 'uri': 'http://localhost:8888/resources/947', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.082293Z', 'changetype': 'CREATED', 'md5': 'AiqzAPbAu0QcOlPgksODvg=='}
2012-09-05T20:09:35.082585Z | source | DEBUG | Event: {'size': 512, 'timestamp': 1346875775.08247, 'basename': '948', 'uri': 'http://localhost:8888/resources/948', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.082470Z', 'changetype': 'CREATED', 'md5': 'rw2Bz1nSSm2pUFOx7ZyfGw=='}
2012-09-05T20:09:35.082742Z | source | DEBUG | Event: {'size': 269, 'timestamp': 1346875775.082635, 'basename': '949', 'uri': 'http://localhost:8888/resources/949', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.082635Z', 'changetype': 'CREATED', 'md5': 'xtt4JnCAr0j8zknD5qyGmw=='}
2012-09-05T20:09:35.082917Z | source | DEBUG | Event: {'size': 939, 'timestamp': 1346875775.082792, 'basename': '950', 'uri': 'http://localhost:8888/resources/950', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.082792Z', 'changetype': 'CREATED', 'md5': '+WYUykZQ8t1VqUWp2VSrPQ=='}
2012-09-05T20:09:35.083072Z | source | DEBUG | Event: {'size': 213, 'timestamp': 1346875775.082966, 'basename': '951', 'uri': 'http://localhost:8888/resources/951', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.082966Z', 'changetype': 'CREATED', 'md5': 'hi8Qp5FYOT9mm/yC63ygGg=='}
2012-09-05T20:09:35.083226Z | source | DEBUG | Event: {'size': 214, 'timestamp': 1346875775.08312, 'basename': '952', 'uri': 'http://localhost:8888/resources/952', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.083120Z', 'changetype': 'CREATED', 'md5': 'OSw68SruG+acUVYdxGP+bQ=='}
2012-09-05T20:09:35.083403Z | source | DEBUG | Event: {'size': 997, 'timestamp': 1346875775.083275, 'basename': '953', 'uri': 'http://localhost:8888/resources/953', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.083275Z', 'changetype': 'CREATED', 'md5': 'MU3EhwrmUJjyhI2pcWfVhA=='}
2012-09-05T20:09:35.083573Z | source | DEBUG | Event: {'size': 701, 'timestamp': 1346875775.083452, 'basename': '954', 'uri': 'http://localhost:8888/resources/954', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.083452Z', 'changetype': 'CREATED', 'md5': 'YKPEaYBMyCiRmBOmqzN9zA=='}
2012-09-05T20:09:35.083746Z | source | DEBUG | Event: {'size': 729, 'timestamp': 1346875775.083626, 'basename': '955', 'uri': 'http://localhost:8888/resources/955', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.083626Z', 'changetype': 'CREATED', 'md5': 'A9UMR1S171llIQhGRzcsaw=='}
2012-09-05T20:09:35.083912Z | source | DEBUG | Event: {'size': 563, 'timestamp': 1346875775.083795, 'basename': '956', 'uri': 'http://localhost:8888/resources/956', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.083795Z', 'changetype': 'CREATED', 'md5': 'PGW6/C9+tPKQuS3p9nTn6w=='}
2012-09-05T20:09:35.084088Z | source | DEBUG | Event: {'size': 935, 'timestamp': 1346875775.083962, 'basename': '957', 'uri': 'http://localhost:8888/resources/957', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.083962Z', 'changetype': 'CREATED', 'md5': 'meg0pLVX6JZgNU0MNjNHtQ=='}
2012-09-05T20:09:35.084252Z | source | DEBUG | Event: {'size': 532, 'timestamp': 1346875775.084137, 'basename': '958', 'uri': 'http://localhost:8888/resources/958', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.084137Z', 'changetype': 'CREATED', 'md5': 'Z5lgyHj9VzPlc1NB6pAaeg=='}
2012-09-05T20:09:35.084414Z | source | DEBUG | Event: {'size': 410, 'timestamp': 1346875775.084301, 'basename': '959', 'uri': 'http://localhost:8888/resources/959', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.084301Z', 'changetype': 'CREATED', 'md5': 'GG0/j1ezyjzGsOKI/O3aKA=='}
2012-09-05T20:09:35.084575Z | source | DEBUG | Event: {'size': 68, 'timestamp': 1346875775.084472, 'basename': '960', 'uri': 'http://localhost:8888/resources/960', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.084472Z', 'changetype': 'CREATED', 'md5': 'ft+qOkrUkl7vzjJrs61N1w=='}
2012-09-05T20:09:35.084745Z | source | DEBUG | Event: {'size': 540, 'timestamp': 1346875775.084625, 'basename': '961', 'uri': 'http://localhost:8888/resources/961', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.084625Z', 'changetype': 'CREATED', 'md5': 'mNmxV4cXhCO87kgqDRe5jg=='}
2012-09-05T20:09:35.084900Z | source | DEBUG | Event: {'size': 234, 'timestamp': 1346875775.084794, 'basename': '962', 'uri': 'http://localhost:8888/resources/962', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.084794Z', 'changetype': 'CREATED', 'md5': '30GfdwiN/bJdcKBJMsRgNA=='}
2012-09-05T20:09:35.085056Z | source | DEBUG | Event: {'size': 235, 'timestamp': 1346875775.084949, 'basename': '963', 'uri': 'http://localhost:8888/resources/963', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.084949Z', 'changetype': 'CREATED', 'md5': 'Knxpfxl/R6J3Mp2EPq/3IA=='}
