2012-09-05T20:11:24.164260Z | client | DEBUG | Event: {'size': 4, 'timestamp': 1346875805.183978, 'basename': '1009', 'uri': 'http://localhost:8888/resources/1009', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:05.183978Z', 'changetype': 'CREATED', 'md5': 'MbOzGhwvijcCBvEREnwNvQ=='}
2012-09-05T20:11:24.164383Z | client | INFO | created: http://localhost:8888/resources/101 -> /tmp/sm/resources/101
2012-09-05T20:11:24.167233Z | client | DEBUG | Event: {'size': 793, 'timestamp': 1346875774.937037, 'basename': '101', 'uri': 'http://localhost:8888/resources/101', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.937037Z', 'changetype': 'CREATED', 'md5': 'mUVD6rGGvGKb2IMcP1MM6w=='}
2012-09-05T20:11:24.167410Z | client | INFO | created: http://localhost:8888/resources/1010 -> /tmp/sm/resources/1010
2012-09-05T20:11:24.170583Z | client | DEBUG | Event: {'size': 545, 'timestamp': 1346875811.189376, 'basename': '1010', 'uri': 'http://localhost:8888/resources/1010', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:11.189376Z', 'changetype': 'CREATED', 'md5': 'YNdsPTImCMo25uBK+9y/TA=='}
2012-09-05T20:11:24.170841Z | client | INFO | created: http://localhost:8888/resources/1011 -> /tmp/sm/resources/1011
2012-09-05T20:11:24.173807Z | client | DEBUG | Event: {'size': 12, 'timestamp': 1346875823.19968, 'basename': '1011', 'uri': 'http://localhost:8888/resources/1011', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:23.199680Z', 'changetype': 'CREATED', 'md5': '7J0xiWUIocJZ9r82/uTiTQ=='}
2012-09-05T20:11:24.173930Z | client | INFO | created: http://localhost:8888/resources/1012 -> /tmp/sm/resources/1012
2012-09-05T20:11:24.177441Z | client | DEBUG | Event: {'size': 851, 'timestamp': 1346875837.213846, 'basename': '1012', 'uri': 'http://localhost:8888/resources/1012', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:37.213846Z', 'changetype': 'CREATED', 'md5': 'QZeL7Y76l+KZj/XNlLf99g=='}
2012-09-05T20:11:24.177615Z | client | INFO | created: http://localhost:8888/resources/1013 -> /tmp/sm/resources/1013
2012-09-05T20:11:24.180228Z | client | DEBUG | Event: {'size': 372, 'timestamp': 1346875857.233435, 'basename': '1013', 'uri': 'http://localhost:8888/resources/1013', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:57.233435Z', 'changetype': 'CREATED', 'md5': 'qxYjp+f8yVO6Nu2Alokicw=='}
2012-09-05T20:11:24.180398Z | client | INFO | created: http://localhost:8888/resources/1014 -> /tmp/sm/resources/1014
2012-09-05T20:11:24.182987Z | client | DEBUG | Event: {'size': 916, 'timestamp': 1346875859.234878, 'basename': '1014', 'uri': 'http://localhost:8888/resources/1014', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:59.234878Z', 'changetype': 'CREATED', 'md5': 'ZNMuchRNtJ4p0v8lDAZCPw=='}
2012-09-05T20:11:24.183108Z | client | INFO | created: http://localhost:8888/resources/1015 -> /tmp/sm/resources/1015
2012-09-05T20:11:24.185606Z | client | DEBUG | Event: {'size': 802, 'timestamp': 1346875867.242077, 'basename': '1015', 'uri': 'http://localhost:8888/resources/1015', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:11:07.242077Z', 'changetype': 'CREATED', 'md5': 'Lm9raaU9Hwzj5B5ECHbsmg=='}
2012-09-05T20:11:24.185785Z | client | INFO | created: http://localhost:8888/resources/1016 -> /tmp/sm/resources/1016
2012-09-05T20:11:24.188599Z | client | DEBUG | Event: {'size': 548, 'timestamp': 1346875875.249204, 'basename': '1016', 'uri': 'http://localhost:8888/resources/1016', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:11:15.249204Z', 'changetype': 'CREATED', 'md5': 'Uq4aKDTqAT5/re6ABk8Odw=='}
2012-09-05T20:11:24.188812Z | client | INFO | created: http://localhost:8888/resources/1017 -> /tmp/sm/resources/1017
2012-09-05T20:11:24.191894Z | client | DEBUG | Event: {'size': 535, 'timestamp': 1346875879.25316, 'basename': '1017', 'uri': 'http://localhost:8888/resources/1017', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:11:19.253160Z', 'changetype': 'CREATED', 'md5': 'ZRpHE6ui0jo1Vru8r0tl+g=='}
2012-09-05T20:11:24.192022Z | client | INFO | created: http://localhost:8888/resources/1018 -> /tmp/sm/resources/1018
2012-09-05T20:11:24.194089Z | client | DEBUG | Event: {'size': 719, 'timestamp': 1346875883.256616, 'basename': '1018', 'uri': 'http://localhost:8888/resources/1018', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:11:23.256616Z', 'changetype': 'CREATED', 'md5': 'g98WE/xFXp8Q78+refl+ug=='}
2012-09-05T20:11:24.194195Z | client | INFO | created: http://localhost:8888/resources/102 -> /tmp/sm/resources/102
2012-09-05T20:11:24.196115Z | client | DEBUG | Event: {'size': 248, 'timestamp': 1346875774.937229, 'basename': '102', 'uri': 'http://localhost:8888/resources/102', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.937229Z', 'changetype': 'CREATED', 'md5': 'aSu1XfmcuEWZzXfbuPU2nQ=='}
2012-09-05T20:11:24.196217Z | client | INFO | created: http://localhost:8888/resources/103 -> /tmp/sm/resources/103
2012-09-05T20:11:24.198199Z | client | DEBUG | Event: {'size': 157, 'timestamp': 1346875774.9374, 'basename': '103', 'uri': 'http://localhost:8888/resources/103', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.937400Z', 'changetype': 'CREATED', 'md5': 'S+ffqTqPvx9jLACeP8cb7A=='}
2012-09-05T20:11:24.198363Z | client | INFO | created: http://localhost:8888/resources/104 -> /tmp/sm/resources/104
2012-09-05T20:11:24.201989Z | client | DEBUG | Event: {'size': 579, 'timestamp': 1346875774.937566, 'basename': '104', 'uri': 'http://localhost:8888/resources/104', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.937566Z', 'changetype': 'CREATED', 'md5': '1W5k8MzHS4r5I9lMd7SGCg=='}
2012-09-05T20:11:24.202162Z | client | INFO | created: http://localhost:8888/resources/105 -> /tmp/sm/resources/105
2012-09-05T20:11:24.204623Z | client | DEBUG | Event: {'size': 603, 'timestamp': 1346875774.937746, 'basename': '105', 'uri': 'http://localhost:8888/resources/105', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.937746Z', 'changetype': 'CREATED', 'md5': 'jYQjwbNkn+FOAED5Jwx41g=='}
